B104,esplanade Henri-De-France,B104,B104,-,106C2,-
B141,square Amicie Lebaudy,B141,0275,60,75A3,75C1,18
B145,square Eugène Hatton,B145,3416,45,114A3,14
Z002,route d'Auteuil Aux Lacs,Z002,R002,850,85C4,85A4,9
Z003,avenue de la Porte d'Auteuil,Z003,7643,1050,85C4,85C3,23
Z004,boulevard d'Auteuil,Z004,0590,240,105A2,105A1,20
Z011,allée du Bord de l'Eau,Z011,Z011,3100,Null,10.8
Z023,route du Champ D'Entrainement,Z023,R023,750,65,10
Z060,avenue Gordon Bennett,Z060,4234,250,85C3,105A1,12
Z062,chemin des Gravilliers,Z062,Z062,470,Null,4
Z070,avenue de l'Hippodrome,Z070,Z070,1700,85B1,10.5
Z110,route des Lacs,Z110,Z110,400,66A4,66A2,9
Z113,route des Lacs À Madrid,Z113,Z113,700,Null,7.3
Z114,route des Lacs À Passy,Z114,Z114,330,85B4,85B1,11
Z122,avenue du Mahatma Gandhi,Z122,R122,1100,46,65,11.6
Z125,route des Moulins,Z125,Z125,1300,Null,10
Z126,route de la Muette à Neuilly,Z126,Z126,1800,66C3,66C1,7.9
Z130,porte de Neuilly,Z130,Z130,-,Null,-
Z153,route du Point Du Jour À Bagatelle,Z153,Z153,2500,Null,5
Z156,route de la Porte des Sablons à la Porte Maillot,Z156,R156,830,46D3,46D4,14.9
Z180,allée de la Reine Marguerite,Z180,Z180,3100,Null,13
Z192,avenue de Saint-Cloud,Z192,Z192,1945,66C3,85A4,11
Z199,route de Sèvres à Neuilly,Z199,Z199,3000,Null,13
Z210,route des Tribunes,Z210,Z210,1700,Null,13
Z516,route Bosquet Mortemart,Z516,Z516,280,Null,5
Z519,route de la Brasserie,Z519,Z519,350,Null,5
Z530,avenue des Canadiens,Z530,R530,660,inexistant,10
Z533,route de Ceinture du Lac Daumesnil,Z533,Z533,2300,115D3,115D4,19
Z555,route du Donjon,Z555,R555,850,Null,10
Z571,route de la Ferme,Z571,R571,1330,Null,15
Z574,route des Fortifications,Z574,Z574,330,134B2,135A1,11
Z583,avenue de Gravelle,Z583,R583,2325,135,19
Z633,cours des Maréchaux,Z633,Z633,425,Null,70
Z636,avenue des Minimes,Z636,R636,650,Null,15
Z665,route du Pesage,Z665,R665,1050,Null,11
Z668,avenue du Polygone,Z668,Z668,570,Null,26.5
Z673,route de la Pyramide,Z673,Z673,3000,Null,12
Z690,route de Reuilly,Z690,Z690,420,135A1,135A2,10
Z704,avenue de Saint-Maurice,Z704,8700,1220,Null,20
Z712,route de la Tourelle,Z712,R712,3980,Null,12
Z716,porte du Bel Air,Z716,Z716,-,inexistant,-
